476413.01,3888009.63,20.76
476420.07,3888008.37,20.82
476430.44,3888009.77,20.99
476448.18,3888009.09,21.05
476452.35,3888008.64,21.02
476463.49,3888005.69,21.10
476472.41,3888009.84,21.22
476481.51,3888004.40,21.30
476497.99,3888005.09,21.32
476504.97,3888002.57,21.30
476515.53,3888000.32,21.26
476526.59,3888000.70,21.30
476536.66,3888000.10,21.27
476549.97,3888000.41,21.25
476552.80,3888000.54,21.22
476567.15,3888000.41,21.22
476572.40,3888001.38,21.23
476588.94,3888000.99,21.25
476598.69,3888000.45,21.25
476602.97,3888000.35,21.24
476615.07,3888006.22,21.31
476620.83,3888009.82,21.36
476630.89,3888004.37,21.41
476640.44,3888005.53,21.47
476650.29,3888009.84,21.52
476664.20,3888000.76,21.55
476673.95,3888002.12,21.58
476687.08,3888008.32,21.62
476698.98,3888009.44,21.57
476701.23,3888008.90,21.52
476715.44,3888004.01,21.58
476724.12,3888005.22,21.63
476730.20,3888007.14,21.67
476740.37,3888004.99,21.73
476750.22,3888003.91,21.81
476762.68,3888009.46,21.84
476771.77,3888001.37,21.84
476787.27,3888009.75,21.84
476799.89,3888009.83,21.83
476322.17,3888019.89,20.69
476334.33,3888017.57,20.76
476348.85,3888014.53,20.73
476356.98,3888015.25,20.66
476366.04,3888014.44,20.79
476378.46,3888012.29,20.70
476388.03,3888018.95,20.57
476397.36,3888014.89,20.61
476405.37,3888012.31,20.70
476412.02,3888012.68,20.71
476420.12,3888010.95,20.73
476431.20,3888018.07,20.79
476440.23,3888019.82,20.76
476453.01,3888019.00,20.82
476461.98,3888019.35,20.92
476471.57,3888019.94,21.13
476480.83,3888019.26,21.27
476492.66,3888019.58,21.34
476507.17,3888012.53,21.33
476518.38,3888014.24,21.29
476527.50,3888010.32,21.37
476530.17,3888010.29,21.38
476547.79,3888010.05,21.36
476559.36,3888010.65,21.30
476563.95,3888010.17,21.28
476571.76,3888010.20,21.28
476587.61,3888011.41,21.32
476599.02,3888011.42,21.31
476604.77,3888010.56,21.27
476614.42,3888010.01,21.33
476629.04,3888019.95,21.32
476631.76,3888017.65,21.36
476640.28,3888018.77,21.44
476650.98,3888017.81,21.46
476663.71,3888012.45,21.51
476670.79,3888015.56,21.60
476687.16,3888012.69,21.60
476692.32,3888010.13,21.57
476705.06,3888015.58,21.54
476717.10,3888016.97,21.58
476725.39,3888014.17,21.58
476734.32,3888011.81,21.62
476740.48,3888012.36,21.65
476759.11,3888019.88,21.67
476762.18,3888019.60,21.66
476770.10,3888019.73,21.73
476789.37,3888017.34,21.79
476797.59,3888019.20,21.78
476288.36,3888029.97,20.83
476295.19,3888027.36,20.80
476304.20,3888024.86,20.81
476319.91,3888020.15,20.77
476322.21,3888020.08,20.70
476334.75,3888021.09,20.80
476349.78,3888021.69,20.77
476355.43,3888020.23,20.74
476361.01,3888024.09,20.83
476378.55,3888020.78,20.83
476389.85,3888020.63,20.70
476397.77,3888020.05,20.76
476400.43,3888023.88,20.76
476414.05,3888020.18,20.79
476424.97,3888021.54,20.74
476430.67,3888024.62,20.75
476440.04,3888029.77,20.71
476452.63,3888029.88,20.74
476461.37,3888029.11,20.85
476470.06,3888029.78,20.97
476480.54,3888029.67,21.20
476490.00,3888029.56,21.27
476501.74,3888026.85,21.32
476512.75,3888020.43,21.31
476520.06,3888020.87,21.35
476531.76,3888020.55,21.42
476548.92,3888021.20,21.42
476560.00,3888023.24,21.36
476562.70,3888020.16,21.35
476572.70,3888029.68,21.31
476583.34,3888029.88,21.32
476598.17,3888027.03,21.32
476606.81,3888022.38,21.27
476617.69,3888024.18,21.30
476622.81,3888022.90,21.31
476630.24,3888023.53,21.35
476641.41,3888028.97,21.38
476659.93,3888025.42,21.46
476665.16,3888029.98,21.32
476670.34,3888028.64,21.46
476689.00,3888029.98,21.50
476696.21,3888029.48,21.49
476709.24,3888025.99,21.49
476714.75,3888028.31,21.49
476728.54,3888022.03,21.41
476731.03,3888026.17,21.46
476749.77,3888029.83,21.52
476753.19,3888029.67,21.52
476760.16,3888029.40,21.57
476771.18,3888026.90,21.69
476788.98,3888026.89,21.76
476790.32,3888024.63,21.77
476166.45,3888039.91,20.65
476174.40,3888038.64,20.66
476188.65,3888036.78,20.64
476190.88,3888036.81,20.66
476201.72,3888036.93,20.64
476210.93,3888037.26,20.77
476222.88,3888037.89,20.69
476239.80,3888036.42,20.66
476241.21,3888036.31,20.71
476254.07,3888034.49,20.72
476261.81,3888035.71,20.76
476270.30,3888033.80,20.79
476285.34,3888031.46,20.78
476297.01,3888031.10,20.82
476301.20,3888035.17,20.90
476319.11,3888031.47,20.90
476326.19,3888030.10,20.88
476335.98,3888031.58,20.89
476349.59,3888031.43,20.85
476357.14,3888030.55,20.81
476360.19,3888031.67,20.87
476378.09,3888030.42,20.87
476389.26,3888030.08,20.76
476394.95,3888033.18,20.86
476402.08,3888030.53,20.87
476416.25,3888030.28,20.85
476425.96,3888030.56,20.85
476439.67,3888030.56,20.76
476440.13,3888030.21,20.77
476457.86,3888037.29,20.73
476465.84,3888038.21,20.80
476470.33,3888039.99,20.92
476480.47,3888037.15,21.15
476490.05,3888039.08,21.24
476500.25,3888039.85,21.28
476510.02,3888039.50,21.30
476520.30,3888039.20,21.33
476531.67,3888039.34,21.37
476549.66,3888035.77,21.42
476558.40,3888033.62,21.36
476563.50,3888034.43,21.32
476575.16,3888030.49,21.30
476583.36,3888030.12,21.30
476591.07,3888030.65,21.33
476607.09,3888035.25,21.31
476613.46,3888032.52,21.32
476622.99,3888030.44,21.34
476631.18,3888030.43,21.32
476647.35,3888039.41,21.34
476650.11,3888039.05,21.33
476666.43,3888039.92,21.31
476670.72,3888040.00,21.30
476680.82,3888039.64,21.47
476694.48,3888036.34,21.48
476704.34,3888036.06,21.46
476716.62,3888030.86,21.50
476722.17,3888030.63,21.47
476733.64,3888037.53,21.46
476740.63,3888039.85,21.48
476753.22,3888030.11,21.52
476760.39,3888039.40,21.59
476771.17,3888037.86,21.68
476780.00,3888033.67,21.76
476799.52,3888030.19,21.79
476164.69,3888047.56,20.58
476172.83,3888040.73,20.69
476188.68,3888040.08,20.72
476196.02,3888040.41,20.72
476204.18,3888040.05,20.72
476213.00,3888040.04,20.79
476225.54,3888040.49,20.71
476239.82,3888040.12,20.73
476241.23,3888040.12,20.73
476255.88,3888040.41,20.78
476260.11,3888045.36,20.82
476270.91,3888040.82,20.83
476284.53,3888043.82,20.87
476297.10,3888042.32,20.87
476300.08,3888040.00,20.90
476310.63,3888040.74,20.95
476329.23,3888040.12,21.01
476334.03,3888041.00,20.98
476349.41,3888040.09,20.99
476354.64,3888040.03,20.93
476362.85,3888040.69,20.95
476376.09,3888040.21,20.97
476384.06,3888040.25,20.90
476393.58,3888040.34,20.90
476401.83,3888040.13,20.92
476410.43,3888043.33,20.92
476423.35,3888043.30,20.93
476439.59,3888040.07,20.92
476449.50,3888040.05,20.88
476456.75,3888040.03,20.79
476467.07,3888043.11,20.80
476472.48,3888044.88,20.90
476480.04,3888048.89,21.00
476498.58,3888046.82,21.14
476504.55,3888047.09,21.16
476510.63,3888049.78,21.22
476520.46,3888044.15,21.28
476530.32,3888040.86,21.34
476543.72,3888046.33,21.40
476559.11,3888042.33,21.37
476568.31,3888040.04,21.35
476573.80,3888040.59,21.35
476583.58,3888042.61,21.36
476598.44,3888049.78,21.28
476609.06,3888049.86,21.24
476617.18,3888049.86,21.19
476629.98,3888049.86,21.23
476633.79,3888049.79,21.19
476649.78,3888047.00,21.15
476650.21,3888046.81,21.19
476665.56,3888043.42,21.19
476670.21,3888040.69,21.27
476688.55,3888049.90,21.36
476692.53,3888049.90,21.29
476709.95,3888043.20,21.44
476712.53,3888042.83,21.40
476723.47,3888049.33,21.44
476737.91,3888040.50,21.46
476740.15,3888041.31,21.46
476759.73,3888049.97,21.45
476760.64,3888049.91,21.40
476774.13,3888048.93,21.44
476784.08,3888045.58,21.63
476797.04,3888044.55,21.69
476160.98,3888059.89,20.47
476171.42,3888059.97,20.57
476183.12,3888058.78,20.69
476190.84,3888052.79,20.74
476208.97,3888054.50,20.85
476217.73,3888053.32,20.88
476225.89,3888050.08,20.84
476238.28,3888051.06,20.86
476249.95,3888050.08,20.87
476257.33,3888050.54,20.83
476261.34,3888050.52,20.86
476272.63,3888050.11,20.87
476285.66,3888050.08,20.86
476290.17,3888050.29,20.92
476300.49,3888052.11,20.91
476310.39,3888050.03,20.97
476321.16,3888058.01,21.06
476336.58,3888052.18,21.06
476340.59,3888050.19,21.08
476356.43,3888051.34,21.01
476360.37,3888050.12,21.04
476379.81,3888050.04,21.06
476389.78,3888050.13,20.96
476398.41,3888050.05,20.98
476409.30,3888051.38,20.96
476411.17,3888050.61,20.94
476425.15,3888059.29,20.95
476434.88,3888059.67,20.98
476448.73,3888051.86,20.98
476458.66,3888050.77,20.90
476466.26,3888050.96,20.87
476471.84,3888059.36,20.89
476481.08,3888057.51,20.95
476490.03,3888060.00,21.03
476500.92,3888058.07,21.10
476514.20,3888056.32,21.15
476524.83,3888059.51,21.13
476532.68,3888055.67,21.29
476546.19,3888059.37,21.32
476559.30,3888059.33,21.26
476560.49,3888059.52,21.25
476574.05,3888057.07,21.25
476588.70,3888059.49,21.20
476595.82,3888059.67,21.05
476605.83,3888055.92,21.06
476619.98,3888058.08,21.09
476620.70,3888058.39,21.08
476632.71,3888050.04,21.17
476644.78,3888051.90,21.17
476658.41,3888051.04,21.22
476669.96,3888059.83,21.23
476671.18,3888059.99,21.21
476684.82,3888051.89,21.29
476692.00,3888050.90,21.26
476708.69,3888059.69,21.43
476714.05,3888053.43,21.47
476723.55,3888050.20,21.46
476739.94,3888055.45,21.40
476745.79,3888055.69,21.34
476751.14,3888053.66,21.40
476760.65,3888050.13,21.40
476773.11,3888050.04,21.52
476780.27,3888050.16,21.78
476799.89,3888054.99,21.72
476160.00,3888064.34,20.43
476170.69,3888064.36,20.54
476180.42,3888069.80,20.61
476191.41,3888069.88,20.60
476200.22,3888069.99,20.71
476211.77,3888069.88,20.78
476221.55,3888069.84,20.87
476236.54,3888060.56,20.92
476240.39,3888062.17,20.98
476257.04,3888060.03,20.95
476260.12,3888060.05,20.96
476271.93,3888060.12,20.96
476288.03,3888060.61,20.93
476290.05,3888060.14,20.96
476305.40,3888062.83,20.96
476313.43,3888061.16,21.03
476326.34,3888068.83,21.09
476338.89,3888066.75,21.06
476349.76,3888068.15,21.07
476355.20,3888067.24,20.96
476361.81,3888068.96,21.04
476377.69,3888067.16,21.10
476389.95,3888065.11,21.04
476398.71,3888061.64,21.04
476406.43,3888068.27,21.02
476417.57,3888067.27,20.95
476424.46,3888063.41,20.91
476434.32,3888069.54,20.95
476444.16,3888066.03,20.97
476454.67,3888061.94,20.96
476462.32,3888060.29,20.92
476475.21,3888062.58,20.91
476481.12,3888068.49,20.95
476497.37,3888068.63,20.89
476502.68,3888069.73,20.89
476513.33,3888069.65,21.02
476520.94,3888069.49,21.12
476539.50,3888068.89,21.20
476540.56,3888069.66,21.20
476556.46,3888067.98,21.23
476569.61,3888069.93,21.18
476578.48,3888067.91,21.09
476586.50,3888064.84,21.08
476595.87,3888060.09,21.06
476607.39,3888066.06,21.06
476610.02,3888064.64,21.09
476620.36,3888060.20,21.13
476631.08,3888069.80,21.21
476644.47,3888069.83,21.13
476653.54,3888069.92,21.18
476667.30,3888062.96,21.20
476676.52,3888066.52,21.09
476680.20,3888064.53,21.26
476695.58,3888065.02,21.16
476700.91,3888063.37,21.33
476710.68,3888060.41,21.50
476729.74,3888067.48,21.56
476735.65,3888067.05,21.52
476749.96,3888062.65,21.67
476751.69,3888062.28,21.54
476762.23,3888060.52,21.57
476772.65,3888066.82,21.52
476783.05,3888062.73,21.59
476799.65,3888060.94,21.84
476160.14,3888070.20,20.47
476179.54,3888074.58,20.56
476180.81,3888074.61,20.58
476190.19,3888074.32,20.59
476204.43,3888079.95,20.65
476210.63,3888079.16,20.67
476220.94,3888079.51,20.71
476230.88,3888079.92,20.80
476240.05,3888079.95,20.88
476255.56,3888079.15,20.96
476261.64,3888070.17,21.01
476270.77,3888070.05,21.04
476287.18,3888079.21,21.04
476290.39,3888078.95,21.06
476303.20,3888070.10,21.04
476319.35,3888075.61,21.05
476321.15,3888074.29,21.08
476335.13,3888070.28,21.05
476341.04,3888071.52,21.06
476355.34,3888073.75,21.03
476368.99,3888075.65,21.06
476377.83,3888073.94,21.06
476387.84,3888075.04,21.04
476398.42,3888075.23,21.07
476407.05,3888072.33,21.01
476419.89,3888074.50,20.94
476422.08,3888073.10,20.93
476439.88,3888079.75,20.93
476447.06,3888079.54,20.89
476452.25,3888076.84,20.89
476469.62,3888076.66,20.88
476480.00,3888078.98,20.85
476487.56,3888078.42,20.85
476491.06,3888079.85,20.83
476502.20,3888078.34,20.81
476511.11,3888078.86,20.93
476520.30,3888079.99,21.04
476530.30,3888073.32,21.20
476540.17,3888071.03,21.20
476558.88,3888077.51,21.14
476569.88,3888072.19,21.10
476578.15,3888079.91,21.03
476580.22,3888079.51,21.03
476596.81,3888070.68,21.09
476603.75,3888078.28,21.09
476610.38,3888076.76,21.09
476622.13,3888074.78,21.10
476630.22,3888073.42,21.18
476644.52,3888070.73,21.11
476652.06,3888070.22,21.16
476667.96,3888070.14,21.56
476674.56,3888070.04,21.48
476689.64,3888074.63,21.46
476692.28,3888074.68,21.34
476706.22,3888072.49,21.44
476719.60,3888079.91,21.46
476722.02,3888079.94,21.35
476730.32,3888079.06,21.62
476749.38,3888073.33,21.67
476750.29,3888073.45,21.68
476766.80,3888076.76,21.54
476776.22,3888074.50,21.49
476780.10,3888073.13,21.81
476790.12,3888071.42,22.16
476162.67,3888080.11,20.69
476179.47,3888080.24,20.66
476189.64,3888080.71,20.63
476191.90,3888080.79,20.62
476206.94,3888089.51,20.61
476210.90,3888089.28,20.61
476220.91,3888087.26,20.62
476233.34,3888089.47,20.68
476240.10,3888089.94,20.73
476250.11,3888089.94,20.77
476260.98,3888089.81,20.88
476270.56,3888089.93,20.98
476283.20,3888087.74,21.02
476296.14,3888082.73,21.05
476305.26,3888088.28,21.06
476319.67,3888084.43,21.09
476320.07,3888083.82,21.11
476339.35,3888081.00,21.14
476342.18,3888081.36,21.13
476356.40,3888081.54,21.08
476362.32,3888080.35,21.10
476370.02,3888081.85,21.14
476387.88,3888080.03,21.12
476399.94,3888080.99,21.11
476405.26,3888080.33,21.05
476419.30,3888089.91,21.01
476427.02,3888086.02,20.95
476433.54,3888082.89,20.90
476442.70,3888082.14,20.88
476459.62,3888082.94,20.90
476469.01,3888080.28,20.89
476479.82,3888080.09,20.85
476480.16,3888083.15,20.86
476499.66,3888089.86,20.81
476509.01,3888089.96,20.74
476518.00,3888089.16,20.65
476520.00,3888089.91,20.66
476530.27,3888088.01,20.88
476542.07,3888087.47,21.01
476550.34,3888084.29,21.14
476566.55,3888085.39,21.01
476578.17,3888080.11,21.01
476580.42,3888081.63,21.05
476590.23,3888081.17,21.14
476603.89,3888080.09,21.16
476612.51,3888086.52,21.17
476620.32,3888084.94,21.33
476633.96,3888080.50,21.41
476641.55,3888089.89,21.44
476653.06,3888084.72,21.70
476668.21,3888089.58,21.63
476679.98,3888089.87,21.48
476689.79,3888084.62,21.46
476691.29,3888084.38,21.38
476700.72,3888089.67,21.52
476715.56,3888081.03,21.36
476721.06,3888080.10,21.33
476730.43,3888080.22,21.73
476744.82,3888080.03,22.07
476751.22,3888080.11,22.17
476769.09,3888086.10,22.17
476779.84,3888089.82,21.94
476789.24,3888089.84,21.68
476794.74,3888088.66,21.58
476166.64,3888091.02,20.92
476178.94,3888090.72,20.87
476189.70,3888090.16,20.85
476199.38,3888090.31,20.74
476209.76,3888090.33,20.61
476216.23,3888091.43,20.59
476225.99,3888099.73,20.49
476237.19,3888096.75,20.47
476249.44,3888094.89,20.51
476251.04,3888094.66,20.53
476266.39,3888100.00,20.64
476275.36,3888094.40,20.74
476286.20,3888098.24,20.73
476291.07,3888098.16,20.70
476307.41,3888099.93,20.83
476310.07,3888099.85,20.85
476322.56,3888099.94,21.00
476330.93,3888097.58,21.05
476342.41,3888097.92,21.00
476357.03,3888096.22,20.93
476369.31,3888094.91,20.99
476370.23,3888093.91,21.01
476385.10,3888093.17,21.04
476392.59,3888093.79,21.03
476409.99,3888093.44,21.01
